sparklemotion/nokogiri,false,6783,32,main,49,217,MIT License,161,5994,905,31940,2008-07-14T03:34:32,2023-03-22T01:14:58,2023-03-25T07:30:40,https://nokogiri.org/,C,1870,95,877,15,2023-03-22T01:14:56,17a510edbdf4cbe9a0c995372433276a79616366,true,false	
jeresig/processing-js,true,3613,1,master,23,34,Other,72,1740,5,41895,2008-05-12T06:19:10,2018-12-04T10:20:56,2020-04-25T09:57:40,http://processingjs.org/,Java,0,0,16,1,2012-07-30T04:30:00,02363398a823eae731cafa180a5581fe353397bf,true,false	
dustin/java-memcached-client,false,979,6,master,93,35,MIT License,65,486,404,5026,2008-02-29T09:22:38,2020-12-01T08:46:25,2020-12-01T08:46:19,http://code.google.com/p/spymemcached/,Java,,,49,28,2020-12-01T08:46:13,fd1447f38f4db8b719387366419fe476df01957d,true,false	
davidb/scala-maven-plugin,false,1048,4,master,0,59,The Unlicense,21,528,146,6372,2008-05-31T09:02:12,2023-03-06T07:44:48,2023-02-16T09:14:17,https://davidb.github.io/scala-maven-plugin/,Java,266,1,406,4,2023-03-06T07:44:46,d51f59557a9007f354df924f85c71bc797d81e2b,true,false	
clarkware/jdepend,false,28,1,master,2,2,MIT License,37,440,98,1255,2008-08-21T09:34:50,2020-04-10T10:28:06,2020-12-08T08:06:49,,Java,12,7,7,5,2020-03-06T06:59:19,7fe00cb07b0f6fad0022c71d56f1a32529e42811,true,false	
tcurdt/jdeb,false,936,6,master,0,62,Apache License 2.0,22,398,166,5160,2008-10-03T11:46:26,2023-03-02T02:15:15,2023-03-08T01:41:29,https://github.com/tcurdt/jdeb,Java,196,30,308,10,2023-03-02T02:14:45,512e702881b377947b6bfba701d5e94588575560,false,false	
rictic/code_swarm,false,381,4,master,0,14,GNU General Public License v3.0,16,355,62,37650,2008-07-26T09:22:13,2014-01-12T06:31:00,2020-11-12T07:43:18,http://code.google.com/p/codeswarm/,Java,10,6,7,0,2014-01-12T06:30:58,ddf0ffeff1e3d4c13adb7ebc58e71d622906f013,true,false	
mth/yeti,false,2980,2,master,0,6,Other,17,219,16,8209,2008-05-19T07:53:44,2021-09-01T02:32:32,2021-09-02T10:37:06,http://mth.github.io/yeti/,Java,9,3,14,0,2021-09-01T02:32:08,de5e56ceda4678f4ad2678bbd6afec7ac3afdfa2,false,false	
myabc/nbgit,false,203,3,master,4,6,Other,9,187,12,4755,2008-03-22T06:13:32,2010-11-12T11:12:14,2019-08-13T01:22:14,http://nbgit.org/,Java,0,0,1,0,2010-11-12T11:10:37,fea0ed6ae1641664736a0775b1fe27db35ff77aa,false,false	
cyberfox/jbidwatcher,false,1551,7,master,51,4,Other,40,178,66,128890,2008-04-08T10:26:02,2019-10-22T03:47:18,2020-02-27T12:20:42,http://www.jbidwatcher.com,Java,0,0,7,2,2018-02-20T10:45:39,2816fb9d78fec14cb18e012c22527320a8905e7e,false,false	
mheath/adbcj,false,251,1,master,0,1,Apache License 2.0,14,140,27,1577,2008-05-02T12:04:03,2015-06-16T10:55:07,2020-03-18T11:01:45,,Java,1,0,2,1,2015-06-16T10:55:07,669b302c106551287cf2352101f3e131bb858015,true,false	
rikrd/geomerative,false,321,5,master,0,6,GNU General Public License v3.0,17,139,26,10871,2008-06-27T09:48:18,2019-03-14T10:02:28,2020-04-20T09:01:31,http://www.ricardmarxer.com/geomerative,Java,7,4,4,0,2019-03-14T10:02:09,5e2d1ebcaffc3a5537de3825e4fab87cc17c01ea,true,false	
raykrueger/hibernate-memcached,false,142,5,master,0,5,Apache License 2.0,26,111,93,186,2008-05-27T02:39:55,2022-11-24T02:27:52,2022-12-03T04:11:31,http://code.google.com/p/hibernate-memcached/,Java,12,3,8,3,2015-03-24T01:05:50,638dd68a70a7d11b14a8c98254db8cbe1b146ed9,true,true	
slagyr/limelight,false,968,1,master,1,9,MIT License,9,109,16,48293,2008-06-06T04:34:58,2012-08-28T05:07:40,2020-03-18T12:23:26,http://limelight.8thlight.com,Java,6,5,6,0,2012-08-28T05:07:31,2e8db684771587422d55a9329e895481e9b56a26,true,false	
fbrunel/twitterdroid,false,62,1,master,3,3,Other,3,82,22,1767,2008-04-05T06:18:03,2012-04-05T07:26:14,2020-03-03T03:25:37,,Java,1,1,1,0,2012-04-05T07:26:14,f68e0719b72b08c7ffd02be5cac5d1251b8b703b,true,false	
mhroth/jvsthost,false,160,2,master,0,3,GNU Lesser General Public License v3.0,15,73,25,2856,2008-09-23T11:04:13,2012-06-14T11:38:36,2020-04-21T02:55:00,,Java,7,6,2,1,2012-06-14T08:02:18,0944bf84db9cc5bdac32c2ee4b6de8a43d8e6a0a,true,false	
n0ha/yui-compressor-ant-task,false,118,2,master,1,5,,3,58,18,13808,2008-06-08T10:22:17,2018-03-19T03:10:54,2020-03-12T12:17:20,,Java,7,4,16,1,2017-12-28T08:30:52,f7d07568c018e9e7032affdae6f80deacc15d697,true,false	
bmc/javautil,false,713,2,master,10,3,Other,6,56,26,7453,2008-09-10T03:27:08,2019-08-14T05:58:22,2019-08-13T01:34:40,http://software.clapper.org/javautil/,Java,15,4,7,4,2017-03-23T02:45:13,a146ece36f6053bc287bf2cb42fbd427b23863c5,true,false	
britt/hivedb,false,594,10,master,5,3,GNU Lesser General Public License v2.1,8,44,14,1839,2008-03-21T09:27:39,2020-10-13T09:45:12,2019-10-14T11:50:00,http://www.hivedb.org,Java,0,0,5,5,2008-12-18T07:41:22,09efeffda5f9fb9619358a274801a569b525dca7,true,false	
clarkware/junitperf,false,6,1,master,1,,Other,11,36,11,95,2008-08-21T09:28:25,2017-01-20T06:21:49,2020-08-30T11:33:18,,Java,1,1,1,0,2017-01-20T06:21:42,0eace56460d0467a12c154d281ad344636eb609d,true,false	
