name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived	
sparklemotion/nokogiri,false,6783,32,main,49,217,MIT License,161,5994,905,31940,2008-07-14T03:34:32,2023-03-22T01:14:58,2023-03-25T07:30:40,https://nokogiri.org/,C,1870,95,877,15,2023-03-22T01:14:56,17a510edbdf4cbe9a0c995372433276a79616366,true,false	
jeresig/processing-js,true,3613,1,master,23,34,Other,72,1740,5,41895,2008-05-12T06:19:10,2018-12-04T10:20:56,2020-04-25T09:57:40,http://processingjs.org/,Java,0,0,16,1,2012-07-30T04:30:00,02363398a823eae731cafa180a5581fe353397bf,true,false	
dustin/java-memcached-client,false,979,6,master,93,35,MIT License,65,486,404,5026,2008-02-29T09:22:38,2020-12-01T08:46:25,2020-12-01T08:46:19,http://code.google.com/p/spymemcached/,Java,,,49,28,2020-12-01T08:46:13,fd1447f38f4db8b719387366419fe476df01957d,true,false	
davidb/scala-maven-plugin,false,1048,4,master,0,59,The Unlicense,21,528,146,6372,2008-05-31T09:02:12,2023-03-06T07:44:48,2023-02-16T09:14:17,https://davidb.github.io/scala-maven-plugin/,Java,266,1,406,4,2023-03-06T07:44:46,d51f59557a9007f354df924f85c71bc797d81e2b,true,false	
clarkware/jdepend,false,28,1,master,2,2,MIT License,37,440,98,1255,2008-08-21T09:34:50,2020-04-10T10:28:06,2020-12-08T08:06:49,,Java,12,7,7,5,2020-03-06T06:59:19,7fe00cb07b0f6fad0022c71d56f1a32529e42811,true,false	
tcurdt/jdeb,false,936,6,master,0,62,Apache License 2.0,22,398,166,5160,2008-10-03T11:46:26,2023-03-02T02:15:15,2023-03-08T01:41:29,https://github.com/tcurdt/jdeb,Java,196,30,308,10,2023-03-02T02:14:45,512e702881b377947b6bfba701d5e94588575560,false,false	
rictic/code_swarm,false,381,4,master,0,14,GNU General Public License v3.0,16,355,62,37650,2008-07-26T09:22:13,2014-01-12T06:31:00,2020-11-12T07:43:18,http://code.google.com/p/codeswarm/,Java,10,6,7,0,2014-01-12T06:30:58,ddf0ffeff1e3d4c13adb7ebc58e71d622906f013,true,false	
mth/yeti,false,2980,2,master,0,6,Other,17,219,16,8209,2008-05-19T07:53:44,2021-09-01T02:32:32,2021-09-02T10:37:06,http://mth.github.io/yeti/,Java,9,3,14,0,2021-09-01T02:32:08,de5e56ceda4678f4ad2678bbd6afec7ac3afdfa2,false,false	
myabc/nbgit,false,203,3,master,4,6,Other,9,187,12,4755,2008-03-22T06:13:32,2010-11-12T11:12:14,2019-08-13T01:22:14,http://nbgit.org/,Java,0,0,1,0,2010-11-12T11:10:37,fea0ed6ae1641664736a0775b1fe27db35ff77aa,false,false	
nicolas-raoul/androidbigimage,false,14,1,master,0,1,GNU General Public License v3.0,9,50,20,1582,2009-07-10T01:56:21,2014-10-15T07:05:55,2019-11-18T01:09:09,http://code.google.com/p/androidbigimage/,Java,0,0,0,0,2014-10-15T07:05:45,f5b287f91008dfdb8f3837d76149b56e7ac72c30,true,false	
apache/maven-enforcer,false,821,7,master,3,61,Apache License 2.0,31,116,141,2405,2009-05-21T12:59:40,2023-03-07T09:35:51,2023-03-04T01:58:12,https://maven.apache.org/enforcer/,Java,0,0,252,4,2023-03-04T05:28:16,6b62f03644fbcdf95eedb97f64ad17ae5d2b73c5,false,false	
textmate/java.tmbundle,false,284,3,master,0,20,,5,48,27,306,2009-06-09T06:35:06,2020-07-14T05:37:29,2020-08-16T03:06:54,,Java,38,16,20,0,2020-07-14T05:37:27,79b8b61865e40de0ff04bb16fe1076b154b9894c,true,false	
apache/attic-ode,false,3823,20,master,27,11,Apache License 2.0,13,44,60,21659,2009-05-21T02:41:15,2020-01-14T05:08:40,2020-01-30T08:40:56,,Java,0,0,8,2,2020-01-14T05:08:26,a0c2d1a3c24268523c81b4ddc125eb05d758c6f5,false,true	
astubbs/spring-modules,false,2244,9,master,8,5,,4,42,29,6500,2009-07-08T09:16:24,2019-10-21T08:50:00,2019-09-24T03:53:42,http://wiki.github.com/astubbs/spring-modules,Java,12,7,2,2,2010-04-29T05:39:54,583b9c78f663720f6a4433c488614fd8f18f82d2,true,false	
ambrice/timesheet,false,45,1,master,5,2,GNU General Public License v2.0,13,42,26,578,2009-05-12T05:47:12,2017-10-16T05:32:29,2019-09-15T04:28:52,,Java,7,7,2,1,2013-06-16T08:46:13,3a3a158cef5a6b59adcf8bd258e8bd257173cd15,true,false	
rtykulsker/javabeanstalkclient,false,31,1,master,22,3,Other,2,38,28,78,2009-05-26T03:37:04,2020-12-21T11:07:48,2020-12-21T11:03:18,,Java,8,1,5,0,2020-12-21T11:03:15,3a37c77188e1d3a87646a2a108afd7de4023bf63,true,false	
tjake/thrudb-java,false,25,6,master,0,0,,4,35,5,4213,2009-05-27T02:36:01,2010-03-16T02:44:23,2018-06-29T11:32:57,http://thrudb.org,Java,1,1,0,0,2009-06-05T12:53:10,cca3fce7f478cf2d0fbac41412ca1b5f48ccd46c,true,true	
lithium/pomodoro,false,5,1,master,1,1,Apache License 2.0,10,34,28,275,2009-05-21T05:00:17,2015-03-25T08:11:59,2019-06-16T04:07:32,http://android.hlidskialf.com/software/pomodoro,Java,11,9,8,7,2014-06-04T10:21:45,fe56f091967a0d2c2c961098605fa29124c67302,true,false	
apache/maven-wagon,false,1322,15,master,0,47,,35,43,101,4922,2009-05-20T02:01:12,2022-12-18T09:06:50,2022-11-04T02:46:35,https://maven.apache.org/wagon/,Java,0,0,86,5,2022-12-18T09:06:46,aff693c6f90371aab0ae07ffcfb9bce4d3214fd1,false,false	
